id,title,artist,album,genre,year,duration
1,Back to the Old House,The Smiths,Louder Than Bombs,Indie Rock,1987,210
2,Back to Friends,sombr,I Barely Know Her,Pop,2025,200
3,Somethin' Stupid,Frank Sinatra,The World We Knew,Jazz,1967,185
4,Lovesick,Laufey,Bewitch,Jazz,2023,250
5,Pivate,The Neighbourhood,ultraSOUND,Alternative Rock,2025,230
6,Manusia Kuat,Tulus,Monokrom,Pop,2016,180
7,Anything You Want,Reality Club,Reality Club Presents...,Indie Pop,2023,210
8,Bintang 5,Tenxi,Puting Beliung,Hip-dut,2025,190
9,Kali Kedua,Raisha,Handmade,Pop,2016,220
10,Masa Sepi,Bernadya,Masa Sepi,Pop,2023,205
